t, x, y, z,fl
1540701940.219,39195,-84805,5905.37508799695,5.01574701742166E-06
1540702255.96,39195,-84805,5905.95008800551,4.96868303479558E-06
1540702571.561,39195,-84805,5906.050088007,5.01873901259004E-06
1540702887.27,39195,-84805,5906.10008800775,5.05175000095279E-06
1540703200.627,39195,-84805,5905.62508800067,4.96706459258689E-06
1540703516.978,39195,-84805,5905.6000880003,4.9241822177286E-06
1540703834.245,39195,-84805,5905.80008800328,4.93260059957703E-06
1540704150.163,39195,-84805,5905.17508799397,5.30105105316226E-06
1540704467.604,39195,-84805,5905.12508799322,5.11272760081916E-06
1540704785.571,39195,-84805,5904.92508799024,5.12798274573181E-06
1540705103.401,39195,-84805,5905.42508799769,5.06901237804804E-06
1540705417.595,39195,-84805,5904.87508798949,5.0577647604934E-06
1540705733.287,39195,-84805,5904.85008798912,5.28478144867799E-06
1540706048.698,39195,-84805,5904.85008798912,5.29497634908224E-06
1540706365.419,39195,-84805,5904.85008798912,5.13563681141691E-06
1540706683.925,39195,-84805,5904.47508798353,5.19609247324529E-06
1540706999.572,39195,-84805,5904.80008798838,5.37054756557883E-06
1540707317.643,39195,-84805,5904.67508798651,5.25634913321108E-06
1540707637.605,39195,-84805,5904.52508798428,5.39409503802583E-06
1540707954.874,39195,-84805,5903.87508797459,5.21860419753725E-06
1540708269.619,39195,-84805,5903.97508797608,5.34341276904838E-06
1540708584.657,39195,-84805,5903.67508797161,5.266891042035E-06
1540708904.86,39195,-84805,5903.25008796528,5.35338222995241E-06
1540709224.689,39195,-84805,5903.37508796714,5.49722498124625E-06
1540709541.679,39195,-84805,5902.45008795336,5.31976389214985E-06
1540709862.655,39195,-84805,5901.45008793846,5.60679026414467E-06
1540710182.716,39195,-84805,5902.20008794963,5.57564705086288E-06
1540710501.324,39195,-84805,5902.20008794963,5.84416447169705E-06
1540710816.729,39195,-84805,5902.0500879474,5.72526394354869E-06
1540711134.489,39195,-84805,5902.17508794926,5.57658237761285E-06
1540711454.872,39195,-84805,5902.47508795373,5.72331568278142E-06
1540711775.002,39195,-84805,5901.37508793734,5.48662104019709E-06
1540712095.263,39195,-84805,5902.27508795075,5.6832854562779E-06
1540712410.496,39195,-84805,5901.75008794293,5.79030045254078E-06
1540712729.628,39195,-84805,5902.3250879515,6.04577888424938E-06
1540713049.104,39195,-84805,5902.45008795336,5.92271072632223E-06
1540713366.481,39195,-84805,5901.82508794405,5.83293086027429E-06
1540713688.249,39195,-84805,5902.02508794703,5.88451068397178E-06
1540714007.931,39195,-84805,5902.27508795075,5.7284629127178E-06
1540714330.595,39195,-84805,5902.35008795187,5.68565008571817E-06
1540714652.656,39195,-84805,5902.35008795187,6.09655389617382E-06
1540714974.855,39195,-84805,5901.87508794479,6.07938123533651E-06
1540715296.039,39195,-84805,5903.12508796342,6.03698173870113E-06
1540715614.418,39195,-84805,5902.35008795187,6.05604385939841E-06
1540715933.506,39195,-84805,5901.85008794442,6.15183210471312E-06
1540716254.902,39195,-84805,5901.80008794367,6.11950182366423E-06
1540716576.324,39195,-84805,5901.25008793548,6.40715400016016E-06
1540716897.868,39195,-84805,5902.10008794814,6.51083790278034E-06
1540717215.514,39195,-84805,5902.10008794814,6.27999387615721E-06
1540717535.003,39195,-84805,5901.5000879392,6.52530226419792E-06
1540717857.696,39195,-84805,5902.15008794889,6.42577962427563E-06
1540718178.503,39195,-84805,5902.5000879541,6.78899234542529E-06
1540718497.079,39195,-84805,5901.52508793958,6.90382496607946E-06
1540718810.682,39195,-84805,5901.5000879392,6.9438744246529E-06
1540719131.143,39195,-84805,5902.02508794703,7.31978314137518E-06
1540719448.875,39195,-84805,5902.5000879541,7.44197156585541E-06
1540719770.579,39195,-84805,5902.35008795187,7.81881135928091E-06
1540720089.11,39195,-84805,5901.7750879433,8.03841449138786E-06
1540720406.918,39195,-84805,5901.82508794405,8.10140545751315E-06
1540720727.676,39195,-84805,5902.15008794889,8.25663058110797E-06
1540721044.377,39195,-84805,5901.97508794628,8.544379416768E-06
1540721360.824,39195,-84805,5901.95008794591,8.71871848220809E-06
1540721678.438,39195,-84805,5901.65008794144,8.84668242032235E-06
1540721992.392,39195,-84805,5901.55008793995,9.23663172990422E-06
1540722309.956,39195,-84805,5901.52508793958,9.60337507506788E-06
1540722630.658,39195,-84805,5902.27508795075,1.00124896263636E-05
1540722950.236,39195,-84805,5901.27508793585,1.02439419162679E-05
1540723267.657,39195,-84805,5901.85008794442,1.03760765611396E-05
1540723584.718,39195,-84805,5901.22508793511,1.09284536248197E-05
1540723902.733,39195,-84805,5901.72508794256,1.09322393702254E-05
1540724220.497,39195,-84805,5902.07508794777,1.14051502515716E-05
1540724536.06,39195,-84805,5902.00008794665,1.21740418417299E-05
1540724854.848,39195,-84805,5903.27508796565,1.24110088172142E-05
1540725175.489,39195,-84805,5902.42508795299,1.32572381628201E-05
1540725495.475,39195,-84805,5901.62508794107,1.3256868178657E-05
1540725814.24,39195,-84805,5900.97508793138,1.34963428835717E-05
1540726130.517,39195,-84805,5900.5000879243,1.45292639155267E-05
1540726451.236,39195,-84805,5901.90008794516,1.47513178271967E-05
1540726765.821,39195,-84805,5901.67508794181,1.51781058562756E-05
1540727082.303,39195,-84805,5901.0500879325,1.57227318356815E-05
1540727401.061,39195,-84805,5901.40008793771,1.61245600263864E-05
1540727721.022,39195,-84805,5901.07508793287,1.65917706537252E-05
1540728041.282,39195,-84805,5901.87508794479,1.74106535732542E-05
1540728356.985,39195,-84805,5901.47508793883,1.84822065411471E-05
1540728678.836,39195,-84805,5900.40008792281,1.80273234408781E-05
1540728996.774,39195,-84805,5900.67508792691,1.97762414709421E-05
1540729315.147,39195,-84805,5902.0500879474,1.98381812558464E-05
1540729633.599,39195,-84805,5901.00008793175,2.0801642492627E-05
1540729949.539,39195,-84805,5900.75008792803,2.12432981801701E-05
1540730265.954,39195,-84805,5900.95008793101,2.2992247194519E-05
1540730586.527,39195,-84805,5901.62508794107,2.31587511188192E-05
1540730906.254,39195,-84805,5901.57508794032,2.42272471298023E-05
1540731220.688,39195,-84805,5901.60008794069,2.41561780370021E-05
1540731539.754,39195,-84805,5900.60008792579,2.57038947483438E-05
1540731856.506,39195,-84805,5900.7750879284,2.6692168212283E-05
1540732172.411,39195,-84805,5900.90008793026,2.76163104853999E-05
1540732491.183,39195,-84805,5901.30008793622,2.96034086828343E-05
1540732808.617,39195,-84805,5900.15008791909,3.01090858633077E-05
1540733126.197,39195,-84805,5900.87508792989,3.10655132545209E-05
1540733440.884,39195,-84805,5900.90008793026,3.26352885838974E-05
1540733757.902,39195,-84805,5900.82508792914,3.31520215821496E-05
1540734076.598,39195,-84805,5900.85008792952,3.39977741372596E-05
1540734396.502,39195,-84805,5901.92508794554,3.53495023793788E-05
1540734712.225,39195,-84805,5901.75008794293,3.49625464146192E-05
1540735031.34,39195,-84805,5901.5000879392,3.741792253901E-05
1540735346.206,39195,-84805,5901.62508794107,3.83447468317503E-05
1540735669.817,39195,-84805,5900.47508792393,4.00516565044029E-05
1540735985.636,39195,-84805,5901.00008793175,4.07666852319861E-05
1540736306.685,39195,-84805,5902.35008795187,4.34789710370511E-05
1540736628.272,39195,-84805,5902.12508794852,4.44521771136657E-05
1540736949.44,39195,-84805,5901.97508794628,4.43843150954804E-05
1540737266.094,39195,-84805,5901.02508793212,4.695524178495E-05
1540737582.548,39195,-84805,5900.92508793063,4.80336629456068E-05
1540737899.899,39195,-84805,5900.85008792952,4.86713441796504E-05
1540738218.991,39195,-84805,5900.82508792914,4.94642135459493E-05
1540738536.336,39195,-84805,5901.22508793511,5.06893540973942E-05
1540738853.791,39195,-84805,5901.07508793287,5.38201882148853E-05
1540739172.067,39195,-84805,5901.30008793622,5.45657039510465E-05
1540739486.31,39195,-84805,5901.27508793585,5.51102193299189E-05
1540739801.038,39195,-84805,5900.75008792803,5.69241398620856E-05
1540740119.96,39195,-84805,5900.75008792803,5.67805798920859E-05
1540740437.95,39195,-84805,5901.30008793622,5.84279816568558E-05
1540740752.918,39195,-84805,5901.17508793436,5.84184133202912E-05
1540741070.775,39195,-84805,5901.52508793958,6.17593431195795E-05
1540741387.32,39195,-84805,5901.52508793958,6.30445133655848E-05
1540741703.352,39195,-84805,5901.47508793883,6.50402754358368E-05
1540742017.072,39195,-84805,5901.57508794032,6.78227862111473E-05
1540742335.991,39195,-84805,5902.47508795373,6.65871423796036E-05
1540742653.675,39195,-84805,5902.47508795373,6.8123412836355E-05
1540742971.959,39195,-84805,5901.45008793846,6.91437017584678E-05
1540743288.29,39195,-84805,5902.0500879474,7.31197536613717E-05
1540743603.339,39195,-84805,5901.90008794516,7.54522242572486E-05
1540743920.725,39195,-84805,5902.15008794889,7.43630683257828E-05
1540744237.818,39195,-84805,5902.60008795559,7.72491335740099E-05
1540744557.537,39195,-84805,5902.85008795932,7.89225334816321E-05
1540744873.734,39195,-84805,5902.7750879582,8.06268160776852E-05
1540745188.655,39195,-84805,5902.72508795746,8.3138017385416E-05
1540745508.436,39195,-84805,5902.45008795336,8.36359327447543E-05
1540745828.336,39195,-84805,5901.45008793846,8.7364511830406E-05
1540746146.971,39195,-84805,5901.90008794516,9.07659890018573E-05
1540746461.576,39195,-84805,5901.55008793995,9.18811727447696E-05
1540746777.082,39195,-84805,5901.45008793846,9.16333235570358E-05
1540747093.247,39195,-84805,5901.27508793585,9.31454788498213E-05
1540747411.891,39195,-84805,5901.85008794442,9.77040353633776E-05
1540747732.943,39195,-84805,5902.52508795448,0.000101069775065
1540748050.377,39195,-84805,5902.60008795559,0.000100154136334
1540748365.615,39195,-84805,5902.57508795522,0.000101673606419
1540748681.137,39195,-84805,5902.47508795373,0.000101735129535
1540749002.025,39195,-84805,5903.62508797087,0.00010508603193
1540749322.132,39195,-84805,5902.62508795597,0.00010551678708
1540749639.671,39195,-84805,5903.30008796603,0.000107457767761
1540749956.976,39195,-84805,5903.57508797012,0.000110411145841
1540750274.036,39195,-84805,5903.47508796863,0.000108747725334
1540750592.237,39195,-84805,5904.07508797757,0.000112983436919
1540750911.181,39195,-84805,5904.47508798353,0.000114630940035
1540751229,39195,-84805,5904.45008798316,0.000117713367844
1540751547.395,39195,-84805,5904.50008798391,0.00011716395797
1540751866.537,39195,-84805,5904.6000879854,0.000122389701153
1540752184.207,39195,-84805,5905.35008799657,0.000123556369752
1540752499.65,39195,-84805,5905.47508799844,0.000124965802998
1540752816.011,39195,-84805,5905.45008799806,0.000127861956437
1540753131.998,39195,-84805,5905.6000880003,0.000129058391782
1540753448.277,39195,-84805,5905.50008799881,0.000132885892373
1540753767.588,39195,-84805,5905.52508799918,0.000132281299342
1540754085.704,39195,-84805,5906.00008800626,0.000136809011953
1540754399.309,39195,-84805,5905.50008799881,0.000138451565681
1540754718.764,39195,-84805,5905.90008800477,0.000141941718443
1540755036.09,39195,-84805,5905.45008799806,0.00014366324754
1540755354.75,39195,-84805,5906.10008800775,0.000146324696026
1540755674.762,39195,-84805,5905.40008799732,0.000148375220483
1540755994.215,39195,-84805,5905.55008799955,0.000147190851587
1540756310.201,39195,-84805,5905.70008800179,0.000149761996149
1540756627.469,39195,-84805,5905.6000880003,0.000155273094152
1540756946.751,39195,-84805,5905.67508800142,0.000155564755152
1540757264.677,39195,-84805,5905.95008800551,0.000156714107151
1540757583.512,39195,-84805,5905.40008799732,0.000159990773984
