,t,u,y
148,24.201980555555558,1,1.6989365836
149,24.368647222222233,1,1.7058050579999997
150,24.53531388888889,1,1.7284571834000004
151,24.701980555555558,1,1.7412056300999998
152,24.868647222222233,1,1.7472410272999996
153,25.03531388888889,1,1.7446283365000002
154,25.201980555555558,1,1.7492887378
155,25.368647222222233,1,1.7444164334000003
156,25.53531388888889,1,1.7566595619999998
157,25.701980555555558,1,1.757330171
158,25.868647222222233,1,1.7508841335
159,26.03531388888889,1,1.7698163430999996
160,26.201980555555558,1,1.7747663929000002
161,26.368647222222233,1,1.7739233341
162,26.53531388888889,1,1.7795651440000002
163,26.701980555555558,1,1.7993607366
164,26.868647222222233,1,1.7897853813999998
165,27.03531388888889,1,1.7925023883000002
166,27.201980555555558,1,1.7977407894
167,27.368647222222233,1,1.815005534
