t,x,y,z,fl
1.542459729118000031e+09,4.468800000000000000e+04,-8.595000000000000000e+04,5.789600086271762848e+03,3.885848379812701406e-06
1.542460042835000038e+09,4.468800000000000000e+04,-8.595000000000000000e+04,5.789575086271390319e+03,3.760717426041943962e-06
1.542460359598000050e+09,4.468800000000000000e+04,-8.595000000000000000e+04,5.789550086271017790e+03,3.867020026601339185e-06
1.542460675267999887e+09,4.468800000000000000e+04,-8.595000000000000000e+04,5.790325086282566190e+03,3.862272004168218988e-06
1.542460988700000048e+09,4.468800000000000000e+04,-8.595000000000000000e+04,5.790175086280331016e+03,3.798462021931969507e-06
1.542461302049999952e+09,4.468800000000000000e+04,-8.595000000000000000e+04,5.790150086279958487e+03,3.908881644014032663e-06
1.542461618364000082e+09,4.468800000000000000e+04,-8.595000000000000000e+04,5.791500086300075054e+03,3.720496948610043865e-06
1.542461930423000097e+09,4.468800000000000000e+04,-8.595000000000000000e+04,5.790950086291879416e+03,3.771613081846497558e-06
1.542462246980000019e+09,4.468800000000000000e+04,-8.595000000000000000e+04,5.790825086290016770e+03,3.900838600650082791e-06
1.542462564217999935e+09,4.468800000000000000e+04,-8.595000000000000000e+04,5.791650086302310228e+03,3.670184207983178267e-06
1.542462877892999887e+09,4.468800000000000000e+04,-8.595000000000000000e+04,5.791200086295604706e+03,3.723547244901472465e-06
1.542463195763999939e+09,4.468800000000000000e+04,-8.595000000000000000e+04,5.791575086301192641e+03,3.868189553567375898e-06
1.542463508128000021e+09,4.468800000000000000e+04,-8.595000000000000000e+04,5.791525086300447583e+03,3.871430280003044708e-06
1.542463821630000114e+09,4.468800000000000000e+04,-8.595000000000000000e+04,5.791025086292997003e+03,3.869821147073421177e-06
1.542464137769999981e+09,4.468800000000000000e+04,-8.595000000000000000e+04,5.791550086300820112e+03,3.776473127465390184e-06
1.542464453757999897e+09,4.468800000000000000e+04,-8.595000000000000000e+04,5.791350086297839880e+03,3.833712095886589986e-06
1.542464767372999907e+09,4.468800000000000000e+04,-8.595000000000000000e+04,5.791225086295977235e+03,3.481115318993190907e-06
1.542465082325999975e+09,4.468800000000000000e+04,-8.595000000000000000e+04,5.789775086274370551e+03,3.746887236462823397e-06
