t, u
1.542439427747999907e+09,0.000000000000000000e+00
1.542439457749000072e+09,0.000000000000000000e+00
1.542439487749000072e+09,0.000000000000000000e+00
1.542439517750000000e+09,0.000000000000000000e+00
1.542439547750000000e+09,0.000000000000000000e+00
1.542439577750999928e+09,0.000000000000000000e+00
1.542439607750999928e+09,0.000000000000000000e+00
1.542439651756999969e+09,0.000000000000000000e+00
1.542439681756999969e+09,0.000000000000000000e+00
1.542439711757999897e+09,0.000000000000000000e+00
1.542439741757999897e+09,0.000000000000000000e+00
1.542439771759000063e+09,0.000000000000000000e+00
1.542439801759000063e+09,0.000000000000000000e+00
1.542439831759999990e+09,0.000000000000000000e+00
1.542439861759999990e+09,0.000000000000000000e+00
1.542439891760999918e+09,0.000000000000000000e+00
1.542439921762000084e+09,0.000000000000000000e+00
1.542439963321000099e+09,0.000000000000000000e+00
1.542439993322000027e+09,0.000000000000000000e+00
1.542440023322000027e+09,0.000000000000000000e+00
1.542440053322999954e+09,0.000000000000000000e+00
1.542440083322999954e+09,0.000000000000000000e+00
1.542440113323999882e+09,0.000000000000000000e+00
1.542440143325999975e+09,0.000000000000000000e+00
1.542440173325999975e+09,0.000000000000000000e+00
1.542440203326999903e+09,0.000000000000000000e+00
1.542440233326999903e+09,0.000000000000000000e+00
1.542440275654000044e+09,0.000000000000000000e+00
1.542440305654000044e+09,0.000000000000000000e+00
1.542440335654999971e+09,0.000000000000000000e+00
1.542440365654999971e+09,0.000000000000000000e+00
1.542440395655999899e+09,0.000000000000000000e+00
1.542440425655999899e+09,0.000000000000000000e+00
1.542440455657000065e+09,0.000000000000000000e+00
1.542440485657999992e+09,0.000000000000000000e+00
1.542440515657999992e+09,0.000000000000000000e+00
1.542440545658999920e+09,0.000000000000000000e+00
1.542440588644000053e+09,0.000000000000000000e+00
1.542440618644000053e+09,0.000000000000000000e+00
1.542440648644999981e+09,0.000000000000000000e+00
1.542440678644999981e+09,0.000000000000000000e+00
1.542440708645999908e+09,0.000000000000000000e+00
1.542440738645999908e+09,0.000000000000000000e+00
1.542440768647000074e+09,0.000000000000000000e+00
1.542440798648000002e+09,0.000000000000000000e+00
1.542440828648000002e+09,0.000000000000000000e+00
1.542440858648999929e+09,0.000000000000000000e+00
1.542440900328000069e+09,0.000000000000000000e+00
1.542440930328999996e+09,0.000000000000000000e+00
1.542440960328999996e+09,0.000000000000000000e+00
1.542440990329999924e+09,0.000000000000000000e+00
1.542441020329999924e+09,0.000000000000000000e+00
1.542441050331000090e+09,0.000000000000000000e+00
1.542441080332000017e+09,0.000000000000000000e+00
1.542441110332000017e+09,0.000000000000000000e+00
1.542441140332999945e+09,0.000000000000000000e+00
1.542441170332999945e+09,0.000000000000000000e+00
1.542441215073999882e+09,0.000000000000000000e+00
1.542441245075000048e+09,0.000000000000000000e+00
1.542441275075000048e+09,0.000000000000000000e+00
1.542441305075999975e+09,0.000000000000000000e+00
1.542441335075999975e+09,0.000000000000000000e+00
1.542441365076999903e+09,0.000000000000000000e+00
1.542441395078000069e+09,0.000000000000000000e+00
1.542441425078000069e+09,0.000000000000000000e+00
1.542441455079999924e+09,0.000000000000000000e+00
1.542441485081000090e+09,0.000000000000000000e+00
1.542441527759999990e+09,0.000000000000000000e+00
1.542441557760999918e+09,0.000000000000000000e+00
1.542441587760999918e+09,0.000000000000000000e+00
1.542441617762000084e+09,0.000000000000000000e+00
1.542441647763999939e+09,0.000000000000000000e+00
1.542441677766000032e+09,0.000000000000000000e+00
1.542441707766000032e+09,0.000000000000000000e+00
1.542441737766999960e+09,0.000000000000000000e+00
1.542441767766999960e+09,0.000000000000000000e+00
1.542441797767999887e+09,0.000000000000000000e+00
1.542441840253999949e+09,0.000000000000000000e+00
1.542441870255000114e+09,0.000000000000000000e+00
1.542441900255000114e+09,0.000000000000000000e+00
1.542441930256000042e+09,0.000000000000000000e+00
1.542441960256000042e+09,0.000000000000000000e+00
1.542441990256999969e+09,0.000000000000000000e+00
1.542442020257999897e+09,0.000000000000000000e+00
1.542442050257999897e+09,0.000000000000000000e+00
1.542442080259000063e+09,0.000000000000000000e+00
1.542442110259000063e+09,0.000000000000000000e+00
1.542442153128000021e+09,0.000000000000000000e+00
1.542442183128999949e+09,0.000000000000000000e+00
1.542442213128999949e+09,0.000000000000000000e+00
1.542442243130000114e+09,0.000000000000000000e+00
1.542442273130000114e+09,0.000000000000000000e+00
1.542442303131000042e+09,0.000000000000000000e+00
1.542442333131000042e+09,0.000000000000000000e+00
1.542442363131999969e+09,0.000000000000000000e+00
1.542442393132999897e+09,0.000000000000000000e+00
1.542442423132999897e+09,0.000000000000000000e+00
1.542442466058000088e+09,0.000000000000000000e+00
1.542442496059000015e+09,0.000000000000000000e+00
1.542442526059000015e+09,0.000000000000000000e+00
1.542442556059999943e+09,0.000000000000000000e+00
1.542442586059999943e+09,0.000000000000000000e+00
1.542442616061000109e+09,0.000000000000000000e+00
1.542442646061000109e+09,0.000000000000000000e+00
1.542442676062000036e+09,0.000000000000000000e+00
1.542442706062999964e+09,0.000000000000000000e+00
1.542442736062999964e+09,0.000000000000000000e+00
1.542442780950000048e+09,0.000000000000000000e+00
1.542442810950000048e+09,0.000000000000000000e+00
1.542442840950000048e+09,0.000000000000000000e+00
1.542442870950999975e+09,0.000000000000000000e+00
1.542442900951999903e+09,0.000000000000000000e+00
1.542442930951999903e+09,0.000000000000000000e+00
1.542442960953000069e+09,0.000000000000000000e+00
1.542442990953000069e+09,0.000000000000000000e+00
1.542443020953999996e+09,0.000000000000000000e+00
1.542443050953999996e+09,0.000000000000000000e+00
1.542443092588999987e+09,0.000000000000000000e+00
1.542443122588999987e+09,0.000000000000000000e+00
1.542443152589999914e+09,0.000000000000000000e+00
1.542443182589999914e+09,0.000000000000000000e+00
1.542443212591000080e+09,0.000000000000000000e+00
1.542443242591000080e+09,0.000000000000000000e+00
1.542443272592000008e+09,0.000000000000000000e+00
1.542443302592999935e+09,0.000000000000000000e+00
1.542443332592999935e+09,0.000000000000000000e+00
1.542443362594000101e+09,0.000000000000000000e+00
1.542443409128000021e+09,0.000000000000000000e+00
1.542443439128999949e+09,0.000000000000000000e+00
1.542443469128999949e+09,0.000000000000000000e+00
1.542443499130000114e+09,0.000000000000000000e+00
1.542443529130000114e+09,0.000000000000000000e+00
1.542443559131000042e+09,0.000000000000000000e+00
1.542443589131000042e+09,0.000000000000000000e+00
1.542443619131999969e+09,0.000000000000000000e+00
1.542443649132999897e+09,0.000000000000000000e+00
1.542443679132999897e+09,0.000000000000000000e+00
1.542443725414999962e+09,0.000000000000000000e+00
1.542443755415999889e+09,0.000000000000000000e+00
1.542443785415999889e+09,0.000000000000000000e+00
1.542443815417000055e+09,0.000000000000000000e+00
1.542443845417999983e+09,0.000000000000000000e+00
1.542443875417999983e+09,0.000000000000000000e+00
1.542443905418999910e+09,0.000000000000000000e+00
1.542443935418999910e+09,0.000000000000000000e+00
1.542443965418999910e+09,0.000000000000000000e+00
1.542443995418999910e+09,0.000000000000000000e+00
1.542444036572000027e+09,0.000000000000000000e+00
1.542444066572000027e+09,0.000000000000000000e+00
1.542444096572999954e+09,0.000000000000000000e+00
1.542444126573999882e+09,0.000000000000000000e+00
1.542444156573999882e+09,0.000000000000000000e+00
1.542444186575000048e+09,0.000000000000000000e+00
1.542444216575000048e+09,0.000000000000000000e+00
1.542444246575999975e+09,0.000000000000000000e+00
1.542444276575999975e+09,0.000000000000000000e+00
1.542444306576999903e+09,0.000000000000000000e+00
1.542444350358999968e+09,0.000000000000000000e+00
1.542444380359999895e+09,0.000000000000000000e+00
1.542444410359999895e+09,0.000000000000000000e+00
1.542444440361000061e+09,0.000000000000000000e+00
1.542444470361999989e+09,0.000000000000000000e+00
1.542444500361999989e+09,0.000000000000000000e+00
1.542444530362999916e+09,0.000000000000000000e+00
1.542444560362999916e+09,0.000000000000000000e+00
1.542444590364000082e+09,0.000000000000000000e+00
1.542444620364000082e+09,0.000000000000000000e+00
1.542444665657000065e+09,0.000000000000000000e+00
1.542444695657999992e+09,0.000000000000000000e+00
1.542444725657999992e+09,0.000000000000000000e+00
1.542444755658999920e+09,0.000000000000000000e+00
1.542444785660000086e+09,0.000000000000000000e+00
1.542444815660000086e+09,0.000000000000000000e+00
1.542444845661000013e+09,0.000000000000000000e+00
1.542444875661000013e+09,0.000000000000000000e+00
1.542444905661999941e+09,0.000000000000000000e+00
1.542444935664000034e+09,0.000000000000000000e+00
1.542444980217000008e+09,0.000000000000000000e+00
1.542445010217000008e+09,0.000000000000000000e+00
1.542445040217999935e+09,0.000000000000000000e+00
1.542445070217999935e+09,0.000000000000000000e+00
1.542445100219000101e+09,0.000000000000000000e+00
1.542445130219000101e+09,0.000000000000000000e+00
1.542445160220000029e+09,0.000000000000000000e+00
1.542445190220999956e+09,0.000000000000000000e+00
1.542445220220999956e+09,0.000000000000000000e+00
1.542445250221999884e+09,0.000000000000000000e+00
1.542445293677000046e+09,0.000000000000000000e+00
1.542445323677999973e+09,0.000000000000000000e+00
1.542445353677999973e+09,0.000000000000000000e+00
1.542445383678999901e+09,0.000000000000000000e+00
1.542445413678999901e+09,0.000000000000000000e+00
1.542445443680000067e+09,0.000000000000000000e+00
1.542445473680999994e+09,0.000000000000000000e+00
1.542445503680999994e+09,0.000000000000000000e+00
1.542445533681999922e+09,0.000000000000000000e+00
1.542445563681999922e+09,0.000000000000000000e+00
