time,fluo,light
102727.13,0.18271212880,1.0
103327.13,0.18367190430,1.0
103927.13,0.18161684205,1.0
104527.13,0.18204319239,1.0
105127.13,0.18321585674,1.0
105727.13,0.18317208873,1.0
106327.13,0.18293916835,1.0
106927.13,0.18219661202,1.0
107527.13,0.18298899607,1.0
108127.13,0.18302683163,1.0
108727.13,0.18209712965,1.0
109327.13,0.18191128730,1.0
109927.13,0.18212174587,1.0
110527.13,0.18196089479,1.0
111127.13,0.18269765673,1.0
111727.13,0.18306346474,1.0
112327.13,0.18334531407,1.0
112927.13,0.17384902309,1.0
113921.16,0.17786540133,1.0
114521.16,0.17676735758,1.0
115121.16,0.17503836554,1.0
115721.16,0.17449419882,1.0
